Index,Month,Users
1,16-May,74
2,16-Jun,117
3,16-Jul,106
4,16-Aug,51
5,16-Sep,83
6,16-Oct,70
7,16-Nov,72
8,16-Dec,93
9,17-Jan,96
10,17-Feb,87
11,17-Mar,70
12,17-Apr,54
13,17-May,99
14,17-Jun,63
15,17-Jul,96
16,17-Aug,112
17,17-Sep,78
18,17-Oct,74
19,17-Nov,42
20,17-Dec,62
21,18-Jan,44
22,18-Feb,57
23,18-Mar,141
24,18-Apr,91
25,18-May,41
